2.325045039971205263e-01,8.310677392667438212e-01,1.936085415629207329e-01
3.570204032062250787e-01,7.247798547222235044e-01,5.810775938445561506e-01
9.093124987618940169e-01,7.241284679475357144e-01,8.093892135833746782e-02
7.517653628588103487e-01,6.362183368673711703e-01,1.298262397438559868e-01
6.375963459019637902e-01,7.222594337867804803e-02,8.382725320737770547e-01
3.382473920644319954e-01,7.329100783938803376e-01,2.331476919478153720e-01
6.290745298462810942e-01,7.928509026416483696e-01,4.054618917862062855e-02
6.819773389116878803e-03,8.953946674144732665e-01,9.235883743461563711e-01
9.937897516756168947e-01,4.809049166978129897e-01,2.017758236609945577e-02
1.142199220073989441e-01,6.627425420492785157e-01,3.811789745193330248e-01
3.647976015072310618e-01,5.658746367371941810e-01,7.855430957990022778e-01
8.624063351693217472e-01,2.277848702038974826e-01,6.278468357309137104e-01
2.843711565151323395e-01,6.118442528045193729e-01,2.037508521938846684e-01
1.664146432010212839e-01,7.282732370628517415e-01,1.346623253933922904e-01
2.589343359094553598e-01,4.208883434547594504e-01,1.952534077858807393e-01
7.709897067471285226e-01,8.893666184953938902e-01,1.737208922488265861e-01
6.730096448741569315e-01,7.540867944773110843e-02,2.178386605541935417e-01
7.100380007545009642e-01,6.312535699232167952e-01,6.918517045197677406e-01
6.401137781031762675e-01,3.647799070578399139e-01,5.378825885486926417e-02
2.496152960620307004e-01,3.287234577803251900e-01,2.276958648437232835e-01
1.220832712394422925e-01,4.163483219176594696e-01,6.255392121553310369e-01
8.928412235109191020e-01,7.547004277424200769e-01,4.765876938126896167e-01
7.681196191139756380e-01,8.515237958365222681e-01,5.692440743862758890e-02
7.023786446450782650e-01,6.183505524413362986e-01,1.619607540531167178e-01
4.394450408171669542e-01,8.133979500800052609e-01,4.432411743592669096e-01
4.608939612832566590e-01,7.060767488276742387e-01,5.038508234568690458e-01
2.313784628092545592e-01,3.116177085758625731e-01,7.505068678493751477e-01
4.518999899479183568e-01,3.821585500201332142e-01,1.875135312919793407e-01
9.403796038642980859e-01,7.716254025661953841e-01,6.735605673926814418e-02
8.784145385145304408e-01,4.354202202549033451e-01,5.324527191526714498e-01
3.321261209279219306e-01,7.974643137411393523e-01,2.951786812775480939e-01
7.805591979821095983e-01,5.402324245399980907e-01,3.307397288334474883e-01
1.176350723634154161e-01,2.980745622852237764e-01,2.142005668997666312e-01
1.575991061272066229e-01,9.024529255368709535e-01,5.735923839544858627e-01
7.253507858681716991e-01,9.361010353691073815e-01,2.908904805461759446e-01
1.125582139310781216e-01,4.857407488454514866e-01,5.901421484987299237e-01
7.254694362506015626e-01,6.461452982782522891e-01,5.432399438159268845e-01
2.125563861219217365e-01,3.723952173034240642e-01,3.739491912614854030e-01
